crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2021-12-08T00:00:00.000,QUEENS,40.754295,-73.93946,0,View Obstructed/Limited
2021-12-08T00:00:00.000,,40.588116,-73.97261,0,Passing Too Closely
2021-12-10T00:00:00.000,BRONX,40.854935,-73.85822,0,Oversized Vehicle
2021-12-10T00:00:00.000,,40.662575,-73.93448,0,Driver Inattention/Distraction
2021-12-09T00:00:00.000,,40.7448,-73.953415,1,Unspecified
2021-12-08T00:00:00.000,,40.79672,-73.97618,0,Passing or Lane Usage Improper
2021-12-09T00:00:00.000,QUEENS,40.752777,-73.70743,0,Illnes
2021-12-09T00:00:00.000,BROOKLYN,40.638523,-73.92607,2,Traffic Control Disregarded
2022-03-26T00:00:00.000,STATEN ISLAND,40.637833,-74.08193,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,MANHATTAN,40.797836,-73.96946,1,Traffic Control Disregarded
2022-03-26T00:00:00.000,QUEENS,40.734375,-73.87342,1,Lost Consciousness
2022-03-26T00:00:00.000,QUEENS,40.699947,-73.736626,1,Following Too Closely
2022-03-21T00:00:00.000,MANHATTAN,40.75632,-73.999275,1,Following Too Closely
2022-03-26T00:00:00.000,QUEENS,40.69614,-73.81789,0,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,BROOKLYN,40.631687,-73.9205,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BRONX,40.88839,-73.84666,2,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,BRONX,40.844425,-73.8639,0,Unspecified
2022-03-26T00:00:00.000,BRONX,40.833965,-73.8629,2,Alcohol Involvement
2022-03-26T00:00:00.000,BROOKLYN,40.705738,-73.944695,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.637905,-73.8878,0,Unsafe Speed
2022-03-26T00:00:00.000,BROOKLYN,40.635063,-73.94788,1,Unsafe Speed
2022-03-26T00:00:00.000,,40.804153,-73.91304,0,Unspecified
2022-03-10T00:00:00.000,BROOKLYN,40.676403,-73.96287,4,Other Vehicular
2022-03-24T00:00:00.000,BRONX,40.829777,-73.85055,1,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.613926,-74.030174,0,Brakes Defective
2022-03-26T00:00:00.000,BROOKLYN,40.635563,-73.89577,2,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,QUEENS,40.675167,-73.825264,0,Passing Too Closely
2022-03-26T00:00:00.000,MANHATTAN,40.761486,-73.96061,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.712284,-73.964005,0,Passing or Lane Usage Improper
2022-02-25T00:00:00.000,QUEENS,40.70546,-73.7949,0,Following Too Closely
2022-03-26T00:00:00.000,,40.74967,-73.99531,1,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,MANHATTAN,40.833786,-73.94037,0,Driver Inattention/Distraction
2022-03-17T00:00:00.000,,40.67794,-73.8023,1,Traffic Control Disregarded
2022-03-26T00:00:00.000,BROOKLYN,40.637985,-74.0076,0,Backing Unsafely
2022-03-26T00:00:00.000,MANHATTAN,40.835037,-73.93979,1,
2022-03-25T00:00:00.000,,40.9046,-73.852936,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,QUEENS,40.742508,-73.91788,1,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.67046,-73.88788,1,Driver Inattention/Distraction
2022-03-26T00:00:00.000,MANHATTAN,40.72224,-73.9863,1,Following Too Closely
2022-03-23T00:00:00.000,,40.67639,-73.97189,1,Traffic Control Disregarded
2022-03-26T00:00:00.000,,40.88893,-73.86579,0,Following Too Closely
2022-03-25T00:00:00.000,,40.80118,-73.93975,1,Traffic Control Disregarded
2022-03-26T00:00:00.000,,40.757668,-73.95915,1,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.668896,-73.95339,0,Driver Inattention/Distraction
2022-03-25T00:00:00.000,BROOKLYN,40.63654,-73.97707,2,Unspecified
2022-03-26T00:00:00.000,BRONX,40.831055,-73.905846,1,Unspecified
2022-03-25T00:00:00.000,,40.85868,-73.89922,0,Passing Too Closely
2022-03-23T00:00:00.000,,40.62466,-74.17856,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.63947,-73.902756,1,Unspecified
2022-03-26T00:00:00.000,BRONX,40.86173,-73.91182,1,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.69538,-73.985115,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.63063,-74.00923,0,Unspecified
2022-03-26T00:00:00.000,BRONX,40.82707,-73.87075,0,Turning Improperly
2022-03-26T00:00:00.000,,40.60548,-73.93922,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.692593,-73.91551,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.680664,-73.902626,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.645718,-73.95002,4,Passing Too Closely
2022-03-25T00:00:00.000,,40.68327,-73.95016,0,Traffic Control Disregarded
2021-12-12T00:00:00.000,,40.84036,-73.91807,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.577652,-73.96344,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,MANHATTAN,40.730145,-73.99781,1,Passenger Distraction
2022-03-26T00:00:00.000,QUEENS,40.67478,-73.806206,0,Failure to Yield Right-of-Way
2022-03-25T00:00:00.000,BROOKLYN,40.624622,-73.97598,2,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.67271,-73.97089,0,Passing or Lane Usage Improper
2022-03-26T00:00:00.000,,40.7314,-73.926094,1,Reaction to Uninvolved Vehicle
2022-03-25T00:00:00.000,,40.632786,-74.13712,1,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,STATEN ISLAND,40.596733,-74.07045,0,Backing Unsafely
2022-03-26T00:00:00.000,BROOKLYN,40.617645,-73.92092,0,Backing Unsafely
